L5 | Thu Feb  7 13:49:34 2019 (534 ms) | general |    1920 x 1440

L4 | Thu Feb  7 13:49:34 2019 (534 ms) | general |    ^^^^ this mode matches current aspect ratio
L5 | Thu Feb  7 13:49:34 2019 (534 ms) | general |    1920 x 1200

L5 | Thu Feb  7 13:49:34 2019 (534 ms) | general |    1856 x 1392

L4 | Thu Feb  7 13:49:34 2019 (534 ms) | general |    ^^^^ this mode matches current aspect ratio
L5 | Thu Feb  7 13:49:34 2019 (534 ms) | general |    1792 x 1344

L4 | Thu Feb  7 13:49:34 2019 (534 ms) | general |    ^^^^ this mode matches current aspect ratio
L5 | Thu Feb  7 13:49:34 2019 (534 ms) | general |    1680 x 1050

L5 | Thu Feb  7 13:49:34 2019 (534 ms) | general |    1600 x 1200

L4 | Thu Feb  7 13:49:34 2019 (534 ms) | general |    ^^^^ this mode matches current aspect ratio
L5 | Thu Feb  7 13:49:34 2019 (534 ms) | general |    1440 x 900

L5 | Thu Feb  7 13:49:34 2019 (534 ms) | general |    1400 x 1050

L4 | Thu Feb  7 13:49:34 2019 (534 ms) | general |    ^^^^ this mode matches current aspect ratio
L5 | Thu Feb  7 13:49:34 2019 (534 ms) | general |    1360 x 768

L5 | Thu Feb  7 13:49:34 2019 (534 ms) | general |    1280 x 1024

L5 | Thu Feb  7 13:49:34 2019 (534 ms) | general |    1280 x 960

L4 | Thu Feb  7 13:49:34 2019 (534 ms) | general |    ^^^^ this mode matches current aspect ratio
L5 | Thu Feb  7 13:49:34 2019 (534 ms) | general |    1280 x 800

L5 | Thu Feb  7 13:49:34 2019 (534 ms) | general |    1280 x 768

L5 | Thu Feb  7 13:49:34 2019 (534 ms) | general |    1152 x 864

L4 | Thu Feb  7 13:49:34 2019 (534 ms) | general |    ^^^^ this mode matches current aspect ratio
L5 | Thu Feb  7 13:49:34 2019 (534 ms) | general |    1024 x 768

L4 | Thu Feb  7 13:49:34 2019 (534 ms) | general |    ^^^^ this mode matches current aspect ratio
L5 | Thu Feb  7 13:49:34 2019 (534 ms) | general |    800 x 600

L4 | Thu Feb  7 13:49:34 2019 (534 ms) | general |    ^^^^ this mode matches current aspect ratio
L4 | Thu Feb  7 13:49:34 2019 (534 ms) | general |    ^^^^ this mode matches requested mode
L5 | Thu Feb  7 13:49:34 2019 (534 ms) | general |    640 x 480

L4 | Thu Feb  7 13:49:34 2019 (534 ms) | general |    ^^^^ this mode matches current aspect ratio
L4 | Thu Feb  7 13:49:34 2019 (647 ms) | general | Successfully opened audio: 44100Hz (requested 44100Hz), sample buffer size=512 (requested 1024)

L4 | Thu Feb  7 13:49:35 2019 (160 ms) | general | Recording game into file recordedGames/recordedGame000007.txt
